DATUM,SMJER,START,STOP,ZET LINIJA,TRAJANJE,OPASKA,,,,,,
6.2.2024,Šva-Trg,8:48,9:27,146 + 6,0:39,,,,,,,
7.2.2024,Šva-Trg,8:31,9:10,146 + 6,0:39,,,,,,,
8.2.2024,Šva-Trg,9:18,9:59,136 + 6,0:41,kontrola u 6,,,,,,
9.2.2024,Šva-Trg,9:20,10:06,136 + 6,0:46,,,,,,,
12.2.2024.,Šva-Trg,8:40,9:13,136 + 6,0:33,,,,,,,
13.2.2024.,Šva-Trg,9:26,10:05,136 + 6,0:39,kontrola u 136,,,,,,
14.2.2024.,Šva-Trg,8:41,9:23,146 + 11,0:42,,,,,,,
15.2.2024.,Šva-Trg,8:15,9:01,136 + 6,0:46,,,,,,,
16.2.2024,Šva-Trg,8:27,9:08,136 + 6,0:41,,,,,,,
19.2.2024,Šva-Trg,8:03,8:39,136 + 11,0:36,,,,,,,
20.2.2024,Šva-Trg,8:55,9:30,136 + 6,0:35,kontrola u 136,,,,,,
21.2.2024,Šva-Trg,9:17,9:55,136 + 6,0:38,kontrola u 6,,,,,,
22.2.2024,Šva-Trg,8:03,8:32,136 + 11,0:29,,,,,,,
23.2.2024,Šva-Trg,9:02,9:33,146 + 11,0:31,,,,,,,
24.2.2024,Šva-Trg,11:52,12:45,136 + 11,0:53,,,,,,,
25.2.2024,Šva-Trg,10:02,10:45,136 + 6,0:43,,,,,,,
26.2.2024,Šva-Trg,7:13,7:50,136 + 6,0:37,,,,,,,
27.2.2024,Šva-Trg,8:54,9:33,136 + 6,0:39,,,,,,,
28.2.2024,Šva-Trg,8:57,9:40,136 + 6,0:43,,,,,,,
29.2.2024,Šva-Trg,9:50,10:29,146 + 11,0:39,,,,,,,
04.3.2024.,Šva-Trg,9:43,10:15,136 + 6,0:32,,,,,,,
05.3.2024.,Šva-Trg,8:32,9:10,136 + 11,0:38,,,,,,,
06.3.2024.,Šva-Trg,8:45,9:21,146 + 6,0:36,,,,,,,
07.3.2024.,Šva-Trg,8:55,9:28,136 + 11,0:33,,,,,,,
08.3.2024.,Šva-Trg,8:58,9:42,136 + 11,0:44,,,,,,,
11.3.2024.,Šva-Trg,9:21,9:54,136 + 6,0:33,,,,,,,
12.3.2024.,Šva-Trg,9:25,9:59,136 + 6,0:34,,,,,,,
13.3.2024.,Šva-Trg,8:48,9:29,136 + 11,0:41,,,,,,,
14.3.2024.,Šva-Trg,9:03,9:37,136 + 11,0:34,,,,,,,
15.3.2024.,Šva-Trg,9:00,9:39,146 + 11,0:39,,,,,,,
19.2.2024.,Šva-Trg,8:58,9:31,146 + 11,0:33,,,,,,,
20.2.2024.,Šva-Trg,8:15,8:59,136 + 11,0:44,,,,,,,
21.2.2024.,Šva-Trg,8:34,9:17,146 + 6,0:43,,,,,,,
22.2.2024.,Šva-Trg,8:34,9:23,146 + 11,0:49,,,,,,,
6.2.2024.,Trg-Šva,20:16,20:59,11 + 136,0:43,,,,,,,
7.2.2024,Trg-Šva,20:42,21:16,6 + 136,0:34,,,,,,,
8.2.2024,Trg-Šva,20:20,21:02,6 + 136,0:42,,,,,,,
12.2.2024.,Trg-Šva,20:50,21:18,6 + 136,0:28,,,,,,,
13.2.2024.,Trg-Šva,18:40,19:13,6 + 136,0:33,,,,,,,
14.2.2024.,Trg-Šva,18:27,18:58,6 + 136,0:31,,,,,,,
15.2.2024.,Trg-Šva,20:27,21:01,11 + 136,0:34,,,,,,,
16.2.2024,Trg-Šva,18:21,18:59,6 + 136,0:38,,,,,,,
19.2.2024,Trg-Šva,19:18,19:49,6 + 136,0:31,,,,,,,
20.2.2024,Trg-Šva,21:58,22:31,11 + 136,0:33,,,,,,,
21.2.2024,Trg-Šva,22:35,23:15,6 + 136,0:40,,,,,,,
22.2.2024,Trg-Šva,23:02,23:30,6 + 136,0:28,,,,,,,
23.2.2024,Trg-Šva,23:03,23:36,1 + 146,0:33,,,,,,,
24.2.2024,Trg-Šva,20:37,21:18,6 + 136,0:41,,,,,,,
25.2.2024,Trg-Šva,19:23,20:20,11 + 136,0:57,,,,,,,
26.2.2024,Trg-Šva,22:35,22:59,6 + 136,0:24,,,,,,,
27.2.2024,Trg-Šva,19:53,20:34,11 + 136,0:41,,,,,,,
28.2.2024,Trg-Šva,18:50,19:19,11 + 136,0:29,,,,,,,
04.3.2024.,Trg-Šva,19:22,20:03,11 + 146,0:41,,,,,,,
06.3.2024.,Trg-Šva,20:00,20:39,11 + 136,0:39,,,,,,,
07.3.2024.,Trg-Šva,18:30,19:18,6 + 136,0:48,,,,,,,
08.3.2024.,Trg-Šva,18:45,19:23,11 + 136,0:38,,,,,,,
11.3.2024.,Trg-Šva,19:47,20:24,11 + 146,0:37,,,,,,,
13.3.2024.,Trg-Šva,19:10,19:43,11 + 146,0:33,,,,,,,
14.3.2024.,Trg-Šva,18:50,19:33,6 +136,0:43,,,,,,,
15.3.2024.,Trg-Šva,19:48,20:34,11 + 136,0:46,,,,,,,
19.2.2024.,Trg-Šva,18:13,18:56,11 + 146,0:43,,,,,,,
21.2.2024.,Trg-Šva,17:27,17:59,11 + 136,0:32,,,,,,,
2.2.2024.,Trg-Šva,21:32,21:57,11 + 146,0:25,,,,,,,
5.2.2024.,Šva-Trg,6:43,7:07,136 + 6,0:24,,,,,,,
6.2.2024.,Šva-Trg,6:45,7:25,(146) + 11,0:40,,,,,,,
6.2.2024.,Trg-Šva,14:10,15:14,12 + 115,1:04,,,,,,,
7.2.2024.,Trg-Šva,16:07,16:46,11 + 146,0:39,,,,,,,
8.2.2024.,Šva-Trg,7:48,8:20,*146 + 6,0:32,,,,,,,
9.2.2024.,Šva-Trg,7:54,8:26,119 + 11,0:32,,,,,,,
9.2.2024.,Trg-Šva,15:44,16:22,6 + 146,0:38,,,,,,,
9.2.2024.,Šva-Trg,18:16,18:51,130 + 11,0:35,,,,,,,
14.2.2024.,Šva-Trg,12:45,13:13,146 + 11,0:28,,,,,,,
14.2.2024.,Trg-Šva,21:36,21:58,11 + 146,0:22,,,,,,,
15.2.2024.,Šva-Trg,9:52,10:25,120 + 11,0:33,,,,,,,
15.2.2024.,Trg-Šva,19:54,20:19,11 + 146,0:25,,,,,,,
16.2.2024.,Šva-Trg,12:16,12:47,136 + 6,0:31,,,,,,,
16.2.2024.,Trg-Šva,20:15,20:41,11 + 146,0:26,,,,,,,
23.2.2024.,Šva-Trg,17:29,17:58,172 + 11,0:29,,,,,,,
26.2.2024.,Šva-Trg,8:46,9:20,"120 + ""Park Maksimir""",0:34,,,,,,,
27.2.2024.,Trg-Šva,19:18,20:15,12 + 115,0:57,izmišljeno,,,,,,
28.2.2024.,Šva-Trg,12:51,13:23,136 + 11,0:32,,,,,,,
28.2.2024.,Trg-Šva,19:49,20:17,146 + 11,0:28,,,,,,,
29.2.2024.,Šva-Trg,12:20,12:53,146 + 11,0:33,,,,,,,
1.3.2024.,Šva-Trg,14:12,15:33,146 + 11,1:21,velika gužva,,,,,,
1.3.2024.,Trg-Šva,20:32,21:00,11 + 146,0:28,,,,,,,
2.3.2024.,Šva-Trg,9:15,9:45,172 + 6,0:30,,,,,,,
2.3.2024.,Trg-Šva,14:21,15:04,"""Zapadni Kolodvor"" + 146",0:43,,,,,,,
2.3.2024.,Šva-Trg,17:06,17:33,136 + 11,0:27,,,,,,,
4.3.2024.,Šva-Trg,6:26,7:05,(*146) + 6,0:39,,,,,,,
5.3.2024,Šva-Trg,6:45,7:19,123 + 6,0:34,,,,,,,
6.3.2024.,Šva-Trg,7:50,8:25,119 + 11,0:35,,,,,,,
6.3.2024.,Trg-Šva,14:53,15:34,11 + 146,0:41,,,,,,,
7.3.2024.,Šva-Trg,7:46,8:18,123 + 6,0:32,,,,,,,
9.3.2024.,Šva-Trg,10:37,11:08,136 + 11,0:31,,,,,,,
10.3.2024.,Šva-Trg,10:03,10:32,(136) + 6,0:29,,,,,,,
10.3.2024.,Trg-Šva,14:11,14:47,11 + 136,0:36,,,,,,,
11.3.2024.,Šva-Trg,14:14,14:40,136 + 6,0:26,kiša,,,,,,
11.3.2024.,Trg-Šva,19:52,20:24,11 + 146,0:32,nisu vozili tramvaji na Črnomerec,,,,,,
12.2.2024.,Šva-Trg,12:45,13:20,(136) + 11,0:35,mokro od kiše,,,,,,
12.3.2024.,Trg-Šva,19:47,20:33,11 + 146,0:46,,,,,,,
13.3.2024.,Šva-Trg,12:37,13:35,123 + 11,0:58,"katastrofalan krah u prometu, procjena",,,,,,
14.3.2024. ,Šva-Trg,13:13,13:50,172 + 11,0:37,,,,,,,
16.3.2024.,Šva-Trg,14:44,15:20,136 + 11,0:36,izmišljeno,,,,,,
17.3.2024.,Šva-Trg,16:13,16:52,146 + 6,0:39,izmišljeno,,,,,,
17.3.2024.,Trg-Šva,20:34,21:12,11 + 146,0:38,izmišljenp,,,,,,
19.3.2024.,Šva-Trg,6:52,7:27,146 + 11,0:35,,,,,,,
20.3.2024.,Šva-Trg,7:42,8:16,131 + 11,0:34,,,,,,,
20.3.2024.,Trg-Šva,13:46,14:40,6 + 146,0:54,,,,,,,
21.3.2024.,Šva-Trg,7:51,8:26,136 + 11,0:35,,,,,,,
21.3.2024.,Trg-Šva,16:01,16:40,11 + 146,0:39,,,,,,,
22.3.2024.,Trg-Šva,22:57,23:32,11 + 146,0:35,,,,,,,
23.3.2024.,Šva-Trg,8:56,9:27,120 + 618,0:31,"tramvaji ne voze normalno, supstitucijski bus",,,,,,
23.3.2024.,Šva-Trg,12:12,13:12,115 + 12,1:00,"procjena, tramvaji ne voze",,,,,,
5.3.2024.,Trg-Šva,19:14,20:12,12 + 115,0:58,izmišljeno vrijeme,,,,,,
-,Šva-Trg,7:12,8:05,115 + 12,0:53,"Števanja, izmišljeno",,,,,,
-,Šva-Trg,6:39,7:25,115 + 12,0:46,"Števanja, izmišljeno",,,,,,
-,Šva-Trg,7:15,8:02,115 + 12,0:47,"Števanja, izmišljeno",,,,,,
-,Trg-Šva,23:41,0:32,12 + 115,0:51,"Števanja, izmišljeno",,,,,,
